"field_1","X","Y","fid","Camr_Nm","Long","Lat","Min.Temp..C.","Min.Temp..C..1","Month"
260,101.541212202228,5.70897375339375,277,"PB092C",394848,631580,19.5,26.5,1
261,101.551689175465,5.71763040243351,278,"PB093A",396011,632534,20,26.5,1
262,101.563106769161,5.71911753034329,279,"PB093B",397276,632695,20,26.5,1
263,101.573927620597,5.71756406554794,280,"PB094A",398474,632520,20,26.5,1
264,101.586282949989,5.70936721585595,281,"PB094D",399840,631610,19,26.5,1
265,101.596237018148,5.72136789983683,282,"PB095A",400946,632934,19,26.5,1
266,101.599117075195,5.71118303768978,283,"PB095D",401262,631807,19,26.5,1
267,101.46647750274,5.69732304821642,284,"PB100A",386567,630315,21,28,1
268,101.473871968133,5.69734424373249,285,"PB100B",387386,630315,21,28,1
269,101.488002867939,5.69700464522675,286,"PB101A",388951,630273,21,28,1
270,101.490931429786,5.69904785869078,287,"PB101B",389276,630498,21,28,1
271,101.497877212029,5.69809072990931,288,"PB102A",390045,630390,21,28,1
272,101.510539084147,5.68708353023921,289,"PB102D",391444,629169,20.5,27.5,1
273,101.532131813334,5.69818636605517,290,"PB103B",393839,630390,20.5,27.5,1
274,101.524945819858,5.69135631203522,291,"PB103D",393041,629637,20.5,27.5,1
275,101.541102769258,5.68630012573922,292,"PB104C",394829,629073,20.5,27.5,1
276,101.546304128741,5.68595264698634,293,"PB104D",395405,629033,20.5,27.5,1
277,101.559238186211,5.69732913803172,294,"PB105A",396841,630287,20.5,27.5,1
278,101.563582516493,5.69675307517578,295,"PB105B",397322,630222,20.5,27.5,1
279,101.586592828558,5.70149980752555,296,"PB106B",399872,630740,20,26.5,1
280,101.576326814537,5.68818668001318,297,"PB106C",398731,629271,20.5,27.5,1
281,101.596762168947,5.70034215134089,298,"PB107A",400998,630609,20,26.5,1
282,101.590107851504,5.68683989287029,299,"PB107C",400257,629118,20,26.5,1
283,101.464858866499,5.67929352440544,300,"PB112A",386382,628322,21,28,1
284,101.467638666106,5.67332336592232,301,"PB112C",386688,627661,21,28,1
285,101.483164750113,5.68063921651249,302,"PB113A",388410,628465,21,28,1
286,101.492306595644,5.67245314793926,303,"PB113D",389420,627557,21,28,1
287,101.509921423103,5.67871605024727,304,"PB114B",391373,628244,20.5,27.5,1
288,101.528700753161,5.67862368171579,306,"PB115B",393453,628228,20.5,27.5,1
289,101.536403403958,5.68138532127455,308,"PB116A",394307,628531,20.5,27.5,1
290,101.56095496601,5.68349649159419,310,"PB117B",397027,628757,20.5,27.5,1
291,101.567382115606,5.6705176931531,311,"PB117D",397735,627320,20.5,27.5,1
292,101.578395558682,5.67425546272753,312,"PB118C",398956,627730,20.5,27.5,1
293,101.581336625105,5.67505923841328,313,"PB118D",399282,627818,20.5,27.5,1
294,101.59469183897,5.68436502177004,314,"PB119A",400764,628843,20,26.5,1
295,101.50445969018,5.83368743777572,316,"TB006C",390816,645381,18,25.5,1
296,101.552543536182,5.83542961645792,317,"TB009C",396141,645559,18.5,25.5,1
297,101.574082343072,5.83182490584807,318,"TB010C",398525,645154,20,26.5,1
298,101.420842679968,5.82166363306932,319,"TB013B",381553,644078,21,27.5,1
299,101.460564605638,5.82931253903316,320,"TB015B",385954,644911,21,27.5,1
300,101.527172557224,5.81704640543356,321,"TB019D",393326,643534,21,27.5,1
301,101.555841910434,5.82124876664709,322,"TB021C",396502,643990,20,26.5,1
302,101.608352524554,5.82528657303563,323,"TB024A",402318,644421,20.5,27.5,1
303,101.492894444469,5.80039144975192,324,"TB029D",389525,641703,21,27.5,1
304,101.422835759828,5.78863169867636,325,"TB037B",381763,640425,21,27.5,1
305,101.466656743858,5.77991372684684,326,"TB040C",386613,639447,19.5,26.5,1
306,101.505182087433,5.78510549979097,327,"TB042A",390881,640009,20,26.5,1
307,101.561356298589,5.79227810455195,328,"TB045B",397104,640785,20,26.5,1
308,101.60385423299,5.78439674611407,329,"TB047D",401808,639901,19.5,26.5,1
309,101.581692277536,5.76502929400595,330,"TB058D",399348,637766,19,25.5,1
310,101.61761455252,5.76405708014378,331,"TB060D",403326,637648,19.5,26.5,1
311,101.431731174305,5.75739251234902,332,"TB062A",382738,636968,21,27.5,1
312,101.482699228247,5.7493274320988,333,"TB065A",388380,636060,20.5,27.5,1
313,101.515960537678,5.74400362635245,334,"TB067C",392062,635461,19.5,26.5,1
314,101.544127195133,5.75243802314785,335,"TB068B",395184,636385,19,25.5,1
315,101.416430750692,5.72811709788802,336,"TB073D",381034,633736,21.5,28.5,1
316,101.457660955408,5.72714310093851,337,"TB075D",385600,633615,21,27.5,1
317,101.580366808768,5.72711367720976,338,"TB082D",399190,633574,20,26.5,1
318,101.498946869714,5.7126456089654,339,"TB090C",390168,631999,20.5,27.5,1
319,101.613447637054,5.71391595080205,340,"TB096A",402850,632105,19,26.5,1
320,101.480050870258,5.6866627468751,341,"TB101C",388067,629132,21,28,1
321,101.520875614504,5.69074809229189,342,"TB103C",392590,629571,20.5,27.5,1
322,101.547042226776,5.70000001201708,343,"TB104B",395491,630586,20.5,27.5,1
323,101.60418804121,5.68157755718667,344,"TB119B",401815,628532,20,26.5,1
324,101.430520675733,5.66484975528365,345,"TB122A",382574,626736,21,27.5,1
325,101.486009565754,5.65166099083769,346,"TB125C",388716,625260,20,27.5,1
326,101.53723438082,5.65169601641326,347,"TB128C",394390,625248,19.5,26.5,1
327,101.569397798987,5.66293522406684,348,"TB129B",397956,626481,19.5,26.5,1
328,101.404988817421,5.76229698723529,349,"TB145D",379778,637519,21.5,28.5,1
329,101.407049152421,5.70073991358722,350,"TB146B",379986,630712,22,28.5,1
