,Dataset,Station,Lat,Long,Elev,HFI,Forest,NPP,d.Road,d.River,EdgeDens,PatchDens,DisjCore
27,Central,A1-2,9.3367,-83.6287,742,18,76.70087125,79,395.4994521,551.035234,87.93,11.18,6.1
28,Central,EMILY,9.3367,-83.6287,742,18,76.70087125,79,395.4994521,551.035234,87.93,11.18,6.1
29,Central,A11-12,9.3344,-83.6265,704,18,93.92359768,79,482.0915016,201.7997265,42,3.05,1.02
30,Central,A13-14,9.3319,-83.6109,767,18,81.30821256,79,94.1438708,1376.204181,110.9,5.08,5.08
31,Central,A15-16,9.3456,-83.6081,867,14,68.35072464,79,1427.627642,1010.658043,130.27,8.9,8.9
32,Central,A17-18,9.3261,-83.6218,699,18,93.40464666,79,1123.082222,338.2002102,40.62,3.05,3.05
33,Central,A5-6,9.3352,-83.6389,726,18,85.86486486,79,356.9777678,1369.670759,72.76,3.96,1.98
34,Central,A7-8,9.3319,-83.6235,712,18,95.92069632,79,590.7581277,228.8321203,26.89,2.03,1.02
35,Central,A9-10,9.3309,-83.6261,668,18,97.35652174,79,805.9130312,115.2080487,25.62,0.99,0.99
36,Central,C1-2,9.5378,-83.5852,2917,6,88.37911025,82,6962.406696,3867.64532,45.39,1.02,2.03
37,Central,C1-2R,9.4599,-83.5619,2301,6,90.4705314,60,4691.01575,913.3955795,1.36,0.99,0.99
38,Central,C9-10,9.533,-83.5607,3240,6,75.68471954,82,8163.365551,4875.889709,141.72,11.18,10.17
39,Central,C11-12,9.4294,-83.5094,3101,6,31.0763285,60,9240.691373,1837.961761,56.29,16.27,7.12
40,Central,C13-14,9.4518,-83.5059,3348,6,57.72876448,60,10905.32988,2771.895587,113.71,20.33,8.13
41,Central,C15-16,9.389,-83.4975,2224,6,81.82073643,60,4899.395855,1898.47136,82.04,1.02,3.05
42,Central,C17-18,9.3932,-83.4986,2506,6,79.42567568,60,5328.835517,2353.427253,80.36,1.98,4.95
43,Central,C19-20,9.4047,-83.5043,3036,6,63.44240077,60,6517.339251,3767.73486,83.46,11.18,5.08
44,Central,C3-4R,9.4565,-83.5479,2493,6,90.56660232,60,6265.639587,1054.66787,10.36,0.99,0.99
45,Central,C3-4,9.5303,-83.5874,2677,6,82.51254826,82,6116.921177,3048.28358,43.12,1.02,1.02
46,Central,C5-6,9.4462,-83.5357,2869,6,89.49564376,60,7809.962915,1142.994195,8.12,1.02,1.02
47,Central,C7-8,9.4426,-83.5092,3131,6,63.38818974,60,10700.03163,1908.43578,125.78,18.3,9.15
48,Central,C9-10R,9.463,-83.5013,3443,6,37.67117988,60,11298.04204,4010.196607,48.23,8.9,4.95
49,Central,MOLINA,9.3607,-83.597,1012,8,70.44777563,57,2381.355179,1103.129267,71.98,5.08,5.08
50,Central,VM13,9.5579,-83.6887,2782,7,88.803485,73,1619.915205,4268.070206,27.74,1.02,1.02
51,Central,VM14,9.5571,-83.6853,2757,7,88.95450145,73,1998.113977,4283.302469,24.66,1.02,1.02
52,Central,VM15,9.5605,-83.6886,2753,7,88.95656371,73,1636.743293,3987.899197,21.58,1.02,1.02
53,Central,VM28,9.5633,-83.6868,2702,10,89.19245648,73,1884.237899,3732.49333,20.74,1.02,1.02
54,North,COPAL EC13-14,9.7826,-83.7554,1148,7,90.94787645,103,3542.239251,1988.384683,25.28,1.02,4.08
55,North,COPAL EC301-302,9.7804,-83.7546,1213,7,95.70559846,103,3464.642639,1956.400579,5.19,1.99,0.99
56,North,MARTA LM1-2,9.7685,-83.6823,863,5,97.79400387,85,4216.01796,229.2612767,0,1,1
57,North,MARTA LM3,9.7651,-83.6791,983,5,97.52220077,85,4680.340848,242.7155364,0,1,1
58,North,MARTA LM4-5,9.7861,-83.6915,758,5,91.77756286,85,2098.75964,210.9315423,30.01,2.04,1.02
59,North,MARTA LM6-7,9.7679,-83.6834,836,5,97.86969112,85,4247.554241,91.96061559,0,1,1
60,North,SAVEGRE VALLEY 1,9.5516,-83.7976,2565,6,89.98937198,64,4704.273131,951.1546622,2.24,1.02,1.02
66,North,SAVEGRE VALLEY 2,9.5515,-83.7928,2603,6,89.7417795,64,4358.077426,1418.221201,22.57,0.97,0.97
67,North,SAVEGRE VALLEY 3,9.5486,-83.7915,2604,6,89.74951644,64,4451.590237,1664.55535,3.09,1.02,1.02
68,North,SAVEGRE VALLEY 4,9.5502,-83.791,2581,6,89.55222437,64,4296.443076,1660.57115,16.65,0.99,1.99
69,North,SAVEGRE VALLEY 5R,9.5516,-83.7976,2565,6,89.98937198,64,4704.273131,951.1546622,1.12,1.02,1.02
70,North,SAVEGRE VALLEY 6,9.5453,-83.7956,2596,6,90.61100386,64,5031.060389,1389.249234,14.34,1.93,0.97
71,North,SAVEGRE VALLEY 7,9.5412,-83.7977,2504,6,90.51547389,64,5498.665409,1514.474503,16.65,0.99,1.99
72,North,SAVEGRE VALLEY 8,9.5465,-83.8001,2381,5,90.30019305,63,5313.845641,915.0095449,23.2,0.99,2.98
61,North,SAVEGRE VALLEY 10,9.5514,-83.7927,2603,6,89.71539206,64,4356.334579,1433.802201,13.75,2.04,1.02
62,North,SAVEGRE VALLEY 11,9.5453,-83.7956,2596,6,90.61100386,64,5031.060389,1389.249234,9.28,0.99,0.99
63,North,SAVEGRE VALLEY 16,9.5502,-83.791,2581,6,89.55222437,64,4296.443076,1660.57115,14.34,1.93,0.97
64,North,SAVEGRE VALLEY 18,9.5514,-83.7927,2603,6,89.71539206,64,4356.334579,1433.802201,2.24,1.02,1.02
65,North,SAVEGRE VALLEY 19,9.5413,-83.7977,2500,6,90.50580271,64,5491.476368,1506.846726,1.12,1.02,1.02
73,North,SAVEGRE VALLEY CAMP2,9.5512,-83.791,2611,6,89.25145068,64,4226.073295,1587.373862,19.38,0.97,1.93
74,North,SAVEGRE VALLEY CAMP3,9.5505,-83.7995,2490,5,90.18146718,64,4932.875712,761.4697425,3.09,1.02,1.02
75,North,SAVEGRE VALLEY CAMP4,9.5675,-83.7942,2635,5,89.64023211,64,3239.916733,387.8025086,6.83,0.99,0.99
