Srvy_Nm,Species,Common,Site,Trail,Camr_Nm,Paired,Latitud,Longitd,X,Y,UTM Zone,Cmr_S_D,Cmr_E_D
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,48,Yes,-5.169891165,-79.19787192,699754,9428273,17,6/15/2016,10/7/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,49,Yes,-5.199248077,-79.16550921,703333,9425016,17,6/15/2016,10/7/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,50,No,-5.192889188,-79.17092095,702735,9425721,17,6/15/2016,10/6/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,51,No,-5.187355093,-79.1801813,701710,9426336,17,6/15/2016,10/7/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,52,Yes,-5.204350913,-79.17281797,702521,9424454,17,6/15/2016,7/18/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,53,No,-5.19793155,-79.17923101,701812,9425166,17,6/16/2016,10/8/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,54,Yes,-5.191820176,-79.18587754,701077,9425844,17,6/16/2016,10/8/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,55,No,-5.211270278,-79.18608339,701048,9423693,17,6/15/2016,10/8/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,56,Yes,-5.215958834,-79.19401603,700167,9423177,17,6/16/2016,10/7/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,57,No,-5.220790006,-79.19809707,699713,9422644,17,6/16/2016,8/28/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,58,Yes,-5.216299505,-79.21196382,698177,9423145,17,6/16/2016,10/8/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,59,No,-5.096529853,-79.20350658,699152,9436388,17,5/28/2016,10/13/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,60,No,-5.087966014,-79.20643405,698830,9437336,17,5/28/2016,10/13/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,61,No,-5.086595742,-79.21443653,697943,9437490,17,5/26/2016,10/13/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,62,Yes,-5.084523969,-79.22385671,696899,9437722,17,5/26/2016,10/13/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,63,No,-5.08313616,-79.2321478,695980,9437878,17,5/28/2016,10/12/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,64,Yes,-5.07994864,-79.24038064,695068,9438233,17,5/28/2016,10/12/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,65,No,-5.072049026,-79.24163747,694931,9439107,17,5/27/2016,10/12/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,66,Yes,-5.062492595,-79.24214124,694878,9440164,17,5/27/2016,10/12/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,67,No,-5.100086416,-79.19811306,699749,9435993,17,5/27/2016,9/1/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,68,Yes,-5.095115424,-79.21511641,697865,9436548,17,5/28/2016,10/12/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,69,No,-5.096575533,-79.22320141,696968,9436389,17,5/28/2016,10/12/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,70,Yes,-5.099199658,-79.23371813,695801,9436102,17,5/28/2016,10/12/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,71,Yes,-5.100366484,-79.24044237,695055,9435975,17,5/28/2016,10/12/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,72,Yes,-5.10045177,-79.24517661,694530,9435967,17,5/28/2016,10/12/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,73,No,-5.106494356,-79.20674336,698790,9435287,17,5/27/2016,10/11/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,74,Yes,-5.106007108,-79.21359835,698030,9435343,17,5/27/2016,10/14/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,75,Yes,-5.110176939,-79.23039648,696166,9434887,17,5/30/2016,10/14/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,76,Yes,-5.116252076,-79.19749976,699812,9434205,17,5/25/2016,10/12/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,77,No,-5.112243748,-79.20945983,698487,9434652,17,5/30/2016,10/12/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,78,Yes,-5.115726356,-79.21318364,698073,9434268,17,5/28/2016,10/14/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,79,No,-5.115628181,-79.22340145,696940,9434282,17,5/30/2016,10/14/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,80,Yes,-5.115177677,-79.23051802,696151,9434334,17,5/30/2016,10/14/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,81,No,-5.123134093,-79.19783219,699773,9433444,17,5/27/2016,10/11/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,82,Yes,-5.128623044,-79.19796109,699757,9432837,17,5/26/2016,10/12/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,83,No,-5.13153244,-79.20360738,699130,9432517,17,5/26/2016,8/13/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,84,Yes,-5.139042876,-79.20232378,699270,9431686,17,5/26/2016,10/12/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,85,Yes,-5.120040026,-79.20690406,698768,9433789,17,5/30/2016,10/14/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,86,Yes,-5.120973176,-79.21077927,698338,9433687,17,5/28/2016,10/14/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,87,Yes,-5.120114646,-79.22393918,696879,9433786,17,5/30/2016,10/14/2016
