Camr_Nm,StartMonth,StartYear,EndMonth,EndYear
TB019D,8,2010,11,2010
TB021C,8,2010,12,2010
TB024A,8,2010,12,2010
TB029D,9,2010,1,2011
TB037B,8,2010,12,2010
TB040C,8,2010,12,2010
TB042A,9,2010,1,2011
TB045B,8,2010,12,2010
TB047D,8,2010,12,2010
TB058D,10,2010,2,2011
TB060D,8,2010,12,2010
TB062A,8,2010,12,2010
TB065A,8,2010,12,2010
TB067C,8,2010,12,2010
TB068B,12,2010,3,2011
TB073D,11,2010,3,2011
TB075D,8,2010,12,2010
TB082D,10,2010,2,2011
TB090C,8,2010,12,2010
TB096A,1,2011,4,2011
TB101C,8,2010,12,2010
TB103C,10,2010,2,2011
TB104B,8,2010,12,2010
TB119B,1,2011,4,2011
TB122A,8,2010,12,2010
TB125C,8,2010,12,2010
TB128C,2,2011,4,2011
TB129B,8,2010,12,2010
TB145D,8,2010,12,2010
TB146B,8,2010,12,2010
