Srvy_Nm,Species,Common,Site,Trail,Camr_Nm,Paired,Latitud,Longitd,X,Y,UTM zone,Cmr_S_D,Cmr_E_D,Date,Time
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU14B,No,5.4606835,101.5470023,782232,604185,,1/3/10,2/28/10,1/17/10,1:34
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU14B,No,5.4606835,101.5470023,782232,604185,,1/3/10,2/28/10,1/18/10,6:54
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU14B,No,5.4606835,101.5470023,782232,604185,,1/3/10,2/28/10,1/31/10,1:36
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU18A,No,5.4440777,101.5050598,777589,602328,,10/30/09,2/26/10,11/14/09,19:39
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU18A,No,5.4440777,101.5050598,777589,602328,,10/30/09,2/26/10,12/10/09,18:52
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU18A,No,5.4440777,101.5050598,777589,602328,,10/30/09,2/26/10,12/13/09,19:13
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU18A,No,5.4440777,101.5050598,777589,602328,,10/30/09,2/26/10,12/17/09,9:38
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU18A,No,5.4440777,101.5050598,777589,602328,,10/30/09,2/26/10,12/19/09,23:36
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU18A,No,5.4440777,101.5050598,777589,602328,,10/30/09,2/26/10,1/13/10,21:31
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU18A,No,5.4440777,101.5050598,777589,602328,,10/30/09,2/26/10,2/3/10,0:36
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Old logging road,PU19B,No,5.4441306,101.5287998,780221,602345,,2/20/10,3/19/10,3/15/10,4:02
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU19C,No,5.4368948,101.5224077,779516,601542,,10/25/09,2/20/10,11/17/09,5:38
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU20C,No,5.4405408,101.5364893,781075,601952,,10/25/09,12/23/09,10/30/09,19:05
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU20C,No,5.4405408,101.5364893,781075,601952,,10/25/09,12/23/09,11/17/09,20:45
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU20C,No,5.4405408,101.5364893,781075,601952,,10/25/09,12/23/09,12/7/09,5:02
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU20C,No,5.4405408,101.5364893,781075,601952,,10/25/09,12/23/09,12/7/09,8:51
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU20C,No,5.4405408,101.5364893,781075,601952,,10/25/09,12/23/09,12/7/09,20:06
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU20C,No,5.4405408,101.5364893,781075,601952,,10/25/09,12/23/09,12/11/09,8:32
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU21B,No,5.4258658,101.4597997,772579,600293,,11/3/09,12/28/09,12/10/09,6:01
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Forest trail,PU22C,No,5.4221621,101.4638881,773034,599885,,10/24/09,2/18/10,11/1/09,5:01
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Forest trail,PU22C,No,5.4221621,101.4638881,773034,599885,,10/24/09,2/18/10,11/27/09,4:17
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU25C,No,5.4215936,101.5248222,779791,599850,,2/20/10,5/10/10,3/22/10,18:55
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU25C,No,5.4215936,101.5248222,779791,599850,,2/20/10,5/10/10,4/13/10,20:04
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU26A,No,5.4252929,101.5427486,781777,600267,,2/18/10,5/7/10,3/25/10,19:10
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU26A,No,5.4252929,101.5427486,781777,600267,,2/18/10,5/7/10,4/4/10,3:58
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU27B,No,5.4248369,101.5645706,784197,600227,,2/18/10,5/7/10,4/22/10,5:24
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU27C,No,5.4218157,101.5577397,783441,599890,,10/23/09,2/18/10,10/31/09,5:56
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU27C,No,5.4218157,101.5577397,783441,599890,,10/23/09,2/18/10,11/8/09,19:27
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU27C,No,5.4218157,101.5577397,783441,599890,,10/23/09,2/18/10,12/8/09,21:00
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU27C,No,5.4218157,101.5577397,783441,599890,,10/23/09,2/18/10,1/9/10,6:39
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU27C,No,5.4218157,101.5577397,783441,599890,,10/23/09,2/18/10,1/10/10,7:56
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU27C,No,5.4218157,101.5577397,783441,599890,,10/23/09,2/18/10,1/16/10,22:33
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU27C,No,5.4218157,101.5577397,783441,599890,,10/23/09,2/18/10,1/17/10,0:08
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU27C,No,5.4218157,101.5577397,783441,599890,,10/23/09,2/18/10,1/18/10,6:07
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU27C,No,5.4218157,101.5577397,783441,599890,,10/23/09,2/18/10,1/18/10,6:25
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Forest trail,PU31D,No,5.4017688,101.4752017,774297,597634,,2/20/10,5/6/10,3/15/10,19:45
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Forest trail,PU31D,No,5.4017688,101.4752017,774297,597634,,2/20/10,5/6/10,4/3/10,20:22
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Forest trail,PU31D,No,5.4017688,101.4752017,774297,597634,,2/20/10,5/6/10,4/23/10,6:06
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU32A,No,5.4109787,101.487992,775711,598658,,10/15/09,2/21/10,1/18/10,6:10
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU34D,No,5.380224,101.4199801,768184,595225,,1/21/10,4/6/10,2/18/10,18:53
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU34D,No,5.380224,101.4199801,768184,595225,,1/21/10,4/6/10,3/25/10,7:51
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU35A,No,5.3937242,101.4335148,769678,596725,,9/16/09,1/20/10,10/13/09,1:34
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU35A,No,5.3937242,101.4335148,769678,596725,,9/16/09,1/20/10,10/21/09,20:34
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU35A,No,5.3937242,101.4335148,769678,596725,,9/16/09,1/20/10,12/9/09,19:59
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU35A,No,5.3937242,101.4335148,769678,596725,,9/16/09,1/20/10,12/31/09,23:08
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU35D,No,5.3808939,101.4367284,770040,595307,,1/20/10,4/7/10,2/20/10,22:26
