"species","lat","lon","hour","date","datetime"
"Tapirus indicus",5.2363296,101.4974904,"20:41",10-01-03,2010-01-03 20:41:00
"Tapirus indicus",5.2672933,101.4775336,"18:55",10-01-04,2010-01-04 18:55:00
"Tapirus indicus",5.4218157,101.5577397,"6:39",10-01-09,2010-01-09 06:39:00
"Tapirus indicus",5.4606835,101.5470023,"20:21",10-01-09,2010-01-09 20:21:00
"Tapirus indicus",5.4606835,101.5470023,"21:37",10-01-09,2010-01-09 21:37:00
"Tapirus indicus",5.4606835,101.5470023,"23:10",10-01-09,2010-01-09 23:10:00
"Tapirus indicus",5.4218157,101.5577397,"7:56",10-01-10,2010-01-10 07:56:00
"Tapirus indicus",5.3009255,101.4380877,"19:47",10-01-10,2010-01-10 19:47:00
"Tapirus indicus",5.4629376,101.5091117,"20:41",10-01-10,2010-01-10 20:41:00
"Tapirus indicus",5.4606835,101.5470023,"5:18",10-01-11,2010-01-11 05:18:00
"Tapirus indicus",5.2733732,101.4473891,"20:04",10-01-13,2010-01-13 20:04:00
"Tapirus indicus",5.4440777,101.5050598,"21:31",10-01-13,2010-01-13 21:31:00
"Tapirus indicus",5.2990099,101.4026353,"23:23",10-01-13,2010-01-13 23:23:00
"Tapirus indicus",5.4606835,101.5470023,"4:58",10-01-14,2010-01-14 04:58:00
"Tapirus indicus",5.2709458,101.4986553,"6:37",10-01-14,2010-01-14 06:37:00
"Tapirus indicus",5.2709458,101.4986553,"2:44",10-01-16,2010-01-16 02:44:00
"Tapirus indicus",5.4606835,101.5470023,"4:33",10-01-16,2010-01-16 04:33:00
"Tapirus indicus",5.4629376,101.5091117,"19:48",10-01-16,2010-01-16 19:48:00
"Tapirus indicus",5.3223476,101.4066982,"21:58",10-01-16,2010-01-16 21:58:00
"Tapirus indicus",5.4218157,101.5577397,"22:33",10-01-16,2010-01-16 22:33:00
"Tapirus indicus",5.4218157,101.5577397,"0:08",10-01-17,2010-01-17 00:08:00
"Tapirus indicus",5.4606835,101.5470023,"1:34",10-01-17,2010-01-17 01:34:00
"Tapirus indicus",5.2745127,101.484031,"8:04",10-01-17,2010-01-17 08:04:00
"Tapirus indicus",5.2363296,101.4974904,"22:48",10-01-17,2010-01-17 22:48:00
"Tapirus indicus",5.4218157,101.5577397,"6:07",10-01-18,2010-01-18 06:07:00
"Tapirus indicus",5.4109787,101.487992,"6:10",10-01-18,2010-01-18 06:10:00
"Tapirus indicus",5.4218157,101.5577397,"6:25",10-01-18,2010-01-18 06:25:00
"Tapirus indicus",5.4606835,101.5470023,"6:54",10-01-18,2010-01-18 06:54:00
"Tapirus indicus",5.3885556,101.4655582,"7:20",10-01-19,2010-01-19 07:20:00
"Tapirus indicus",5.2925818,101.4993067,"8:06",10-01-19,2010-01-19 08:06:00
"Tapirus indicus",5.2463252,101.4921557,"18:17",10-01-19,2010-01-19 18:17:00
"Tapirus indicus",5.3885556,101.4655582,"20:09",10-01-19,2010-01-19 20:09:00
"Tapirus indicus",5.4546703,101.5210511,"21:57",10-01-19,2010-01-19 21:57:00
"Tapirus indicus",5.2733732,101.4473891,"6:04",10-01-20,2010-01-20 06:04:00
"Tapirus indicus",5.2463252,101.4921557,"19:50",10-01-20,2010-01-20 19:50:00
"Tapirus indicus",5.2629193,101.5121226,"0:24",10-01-22,2010-01-22 00:24:00
"Tapirus indicus",5.4750182,101.4945023,"19:32",10-01-22,2010-01-22 19:32:00
"Tapirus indicus",5.2463252,101.4921557,"21:33",10-01-22,2010-01-22 21:33:00
"Tapirus indicus",5.3120092,101.465391,"9:27",10-01-23,2010-01-23 09:27:00
"Tapirus indicus",5.2629193,101.5121226,"19:16",10-01-23,2010-01-23 19:16:00
"Tapirus indicus",5.2745127,101.484031,"21:25",10-01-24,2010-01-24 21:25:00
"Tapirus indicus",5.2639121,101.4872106,"21:58",10-01-24,2010-01-24 21:58:00
"Tapirus indicus",5.2717893,101.4743594,"22:33",10-01-24,2010-01-24 22:33:00
"Tapirus indicus",5.4629376,101.5091117,"23:32",10-01-25,2010-01-25 23:32:00
"Tapirus indicus",5.2480016,101.4367833,"1:02",10-01-26,2010-01-26 01:02:00
"Tapirus indicus",5.3133017,101.4858406,"20:03",10-01-27,2010-01-27 20:03:00
"Tapirus indicus",5.314201,101.4551586,"22:32",10-01-27,2010-01-27 22:32:00
"Tapirus indicus",5.2815555,101.5016007,"8:05",10-01-30,2010-01-30 08:05:00
"Tapirus indicus",5.4606835,101.5470023,"1:36",10-01-31,2010-01-31 01:36:00
"Tapirus indicus",5.4440777,101.5050598,"0:36",10-02-03,2010-02-03 00:36:00
"Tapirus indicus",5.3009255,101.4380877,"3:27",10-02-04,2010-02-04 03:27:00
"Tapirus indicus",5.2629193,101.5121226,"23:28",10-02-08,2010-02-08 23:28:00
"Tapirus indicus",5.2815555,101.5016007,"19:21",10-02-13,2010-02-13 19:21:00
"Tapirus indicus",5.2629193,101.5121226,"20:20",10-02-15,2010-02-15 20:20:00
"Tapirus indicus",5.2463252,101.4921557,"7:36",10-02-18,2010-02-18 07:36:00
"Tapirus indicus",5.380224,101.4199801,"18:53",10-02-18,2010-02-18 18:53:00
"Tapirus indicus",5.2925818,101.4993067,"23:54",10-02-19,2010-02-19 23:54:00
"Tapirus indicus",5.3808939,101.4367284,"22:26",10-02-20,2010-02-20 22:26:00
"Tapirus indicus",5.2480016,101.4367833,"3:17",10-02-22,2010-02-22 03:17:00
"Tapirus indicus",5.3678756,101.4334159,"20:10",10-02-24,2010-02-24 20:10:00
"Tapirus indicus",5.2815555,101.5016007,"19:47",10-02-27,2010-02-27 19:47:00
"Tapirus indicus",5.4652264,101.5291782,"20:14",10-02-27,2010-02-27 20:14:00
"Tapirus indicus",5.3120092,101.465391,"20:28",10-02-27,2010-02-27 20:28:00
"Tapirus indicus",5.314201,101.4551586,"3:06",10-02-28,2010-02-28 03:06:00
"Tapirus indicus",5.2629193,101.5121226,"1:28",10-03-03,2010-03-03 01:28:00
"Tapirus indicus",5.2709458,101.4986553,"3:29",10-03-03,2010-03-03 03:29:00
"Tapirus indicus",5.4558748,101.5112786,"21:25",10-03-03,2010-03-03 21:25:00
"Tapirus indicus",5.375313,101.4193724,"19:41",10-03-05,2010-03-05 19:41:00
"Tapirus indicus",5.2463252,101.4921557,"0:45",10-03-06,2010-03-06 00:45:00
"Tapirus indicus",5.2480016,101.4367833,"1:48",10-03-06,2010-03-06 01:48:00
"Tapirus indicus",5.4699782,101.4663839,"3:08",10-03-06,2010-03-06 03:08:00
"Tapirus indicus",5.375313,101.4193724,"7:30",10-03-06,2010-03-06 07:30:00
"Tapirus indicus",5.2925818,101.4993067,"22:14",10-03-07,2010-03-07 22:14:00
"Tapirus indicus",5.2745127,101.484031,"0:48",10-03-09,2010-03-09 00:48:00
"Tapirus indicus",5.4826549,101.5513501,"21:54",10-03-09,2010-03-09 21:54:00
"Tapirus indicus",5.2925818,101.4993067,"0:10",10-03-10,2010-03-10 00:10:00
"Tapirus indicus",5.2815555,101.5016007,"18:22",10-03-10,2010-03-10 18:22:00
"Tapirus indicus",5.2363296,101.4974904,"17:08",10-03-11,2010-03-11 17:08:00
"Tapirus indicus",5.3478179,101.467006,"3:36",10-03-13,2010-03-13 03:36:00
"Tapirus indicus",5.3009255,101.4380877,"5:44",10-03-13,2010-03-13 05:44:00
"Tapirus indicus",5.3478179,101.467006,"5:55",10-03-13,2010-03-13 05:55:00
"Tapirus indicus",5.2745127,101.484031,"21:32",10-03-13,2010-03-13 21:32:00
"Tapirus indicus",5.2717893,101.4743594,"22:25",10-03-13,2010-03-13 22:25:00
"Tapirus indicus",5.2709458,101.4986553,"21:47",10-03-14,2010-03-14 21:47:00
"Tapirus indicus",5.4441306,101.5287998,"4:02",10-03-15,2010-03-15 04:02:00
"Tapirus indicus",5.4017688,101.4752017,"19:45",10-03-15,2010-03-15 19:45:00
"Tapirus indicus",5.2363296,101.4974904,"18:05",10-03-16,2010-03-16 18:05:00
"Tapirus indicus",5.4826549,101.5513501,"20:33",10-03-16,2010-03-16 20:33:00
"Tapirus indicus",5.2629193,101.5121226,"2:33",10-03-18,2010-03-18 02:33:00
"Tapirus indicus",5.3171843,101.4999589,"5:56",10-03-18,2010-03-18 05:56:00
"Tapirus indicus",5.2717893,101.4743594,"20:12",10-03-18,2010-03-18 20:12:00
"Tapirus indicus",5.2342903,101.5110652,"20:23",10-03-18,2010-03-18 20:23:00
"Tapirus indicus",5.2815555,101.5016007,"21:26",10-03-18,2010-03-18 21:26:00
"Tapirus indicus",5.4826549,101.5513501,"21:09",10-03-19,2010-03-19 21:09:00
"Tapirus indicus",5.2629193,101.5121226,"21:24",10-03-19,2010-03-19 21:24:00
"Tapirus indicus",5.4215936,101.5248222,"18:55",10-03-22,2010-03-22 18:55:00
"Tapirus indicus",5.4558748,101.5112786,"0:00",10-03-23,2010-03-23
"Tapirus indicus",5.4558748,101.5112786,"2:38",10-03-23,2010-03-23 02:38:00
