,X,Y,Camr_Nm,Precip,Elev,HFI,d.Road
277,101.5592382,5.697329138,PB105A,197.91667,551,0,10066.65134
278,101.5635825,5.696753075,PB105B,197.91667,524,0,10034.20339
279,101.5865928,5.701499808,PB106B,209,649,0,10785.91825
280,101.5763268,5.68818668,PB106C,199.41667,381,0,9331.926098
281,101.5967622,5.700342151,PB107A,207,585,0,10429.70888
282,101.5901079,5.686839893,PB107C,203.16667,591,0,9175.52233
283,101.4648589,5.679293524,PB112A,191,423,0,2616.972423
284,101.4676387,5.673323366,PB112C,192.25,409,0,3255.773748
285,101.4831648,5.680639217,PB113A,198.75,656,0,4415.966189
286,101.4923066,5.672453148,PB113D,202.41667,626,0,5674.735934
287,101.5099214,5.67871605,PB114B,196.66667,543,0,7345.299022
288,101.5287008,5.678623682,PB115B,204.83333,638,0,7784.823195
289,101.5364034,5.681385321,PB116A,212.33333,793,0,8080.06462
290,101.560955,5.683496492,PB117B,195.41667,403,0,8549.760478
291,101.5673821,5.670517693,PB117D,199.25,376,0,7211.714043
292,101.5783956,5.674255463,PB118C,210.16667,824,0,7817.67773
293,101.5813366,5.675059238,PB118D,212.83333,799,0,7878.437985
294,101.5946918,5.684365022,PB119A,201.5,582,0,8941.608006
295,101.5044597,5.833687438,TB006C,213.08333,950,1,16799.03447
296,101.5525435,5.835429616,TB009C,207.16667,734,0,18060.96044
297,101.5740823,5.831824906,TB010C,195.58333,568,0,15644.79999
298,101.4208427,5.821663633,TB013B,186.83333,324,1,14324.50406
299,101.4605646,5.829312539,TB015B,190.66667,356,1,15043.22556
300,101.5271726,5.817046405,TB019D,190.58333,327,7,16393.33047
301,101.5558419,5.821248767,TB021C,192.91667,337,0,17443.97531
302,101.6083525,5.825286573,TB024A,198.75,407,1,11782.66696
303,101.4928944,5.80039145,TB029D,189.33333,446,0,12914.29267
304,101.4228358,5.788631699,TB037B,192.33333,583,0,10701.18055
305,101.4666567,5.779913727,TB040C,204.66667,790,0,9791.508649
306,101.5051821,5.7851055,TB042A,200.16667,671,0,12103.07571
307,101.5613563,5.792278105,TB045B,216.58333,1025,0,16738.14644
308,101.6038542,5.784396746,TB047D,208.83333,708,0,12136.52909
309,101.5816923,5.765029294,TB058D,215.5,931,0,14826.3271
310,101.6176146,5.76405708,TB060D,203.16667,501,0,10958.47656
311,101.4317312,5.757392512,TB062A,188.41667,333,0,7116.844679
312,101.4826992,5.749327432,TB065A,209.16667,853,0,7431.54075
313,101.5159605,5.744003626,TB067C,224.08333,1116,0,9663.057879
314,101.5441272,5.752438023,TB068B,215.75,938,0,12798.989
315,101.4164308,5.728117098,TB073D,193.33333,567,0,4833.60769
316,101.457661,5.727143101,TB075D,188.75,301,0,3928.062573
317,101.5803668,5.727113677,TB082D,207.41667,691,0,13629.98163
318,101.4989469,5.712645609,TB090C,191.91667,513,0,6387.965287
319,101.6134476,5.713915951,TB096A,204.66667,644,1,9741.580054
320,101.4800509,5.686662747,TB101C,198.5,610,0,3932.181095
321,101.5208756,5.690748092,TB103C,192.16667,328,0,8410.260834
322,101.5470422,5.700000012,TB104B,196.16667,338,0,10242.24579
323,101.604188,5.681577557,TB119B,211.75,735,0,8232.148062
324,101.4305207,5.664849755,TB122A,191.75,405,0,3281.967755
325,101.4860096,5.651660991,TB125C,197.08333,465,0,5771.9052
326,101.5372344,5.651696016,TB128C,204.91667,533,0,4808.512077
327,101.5693978,5.662935224,TB129B,197.91667,381,0,6437.097355
328,101.4049888,5.762296987,TB145D,186.66667,437,0,8686.447279
329,101.4070492,5.700739914,TB146B,194.58333,643,0,4067.593139
